1;macgyver;4:5;;192460088
2;Justy;4:8;;184373060
3;Pug;1:3;;154514006
4;jansp;1:2;;151455903
5;Hiob;1:1;;122148815
6;Runie;14:3;;118628986
7;Hinnerk;14:1;;115673355
8;Caddy;4:7;;114516277
9;Logan;4:2;;109720213
10;Janni;14:8;;104488483
11;Mo3pMo3p;14:2;;98067967
12;Venom2k;14:5;;89902383
13;Gott;14:4;;86126623
14;zeno;5:1;;84035417
15;BiohazardSoldier;6:1;;77344945
16;MyonRashi;4:6;;71558167
17;Interceptor;2:2;;69802728
18;3rkons;13:4;;69678506
19;h4ck;5:8;;64189676
20;c0d3x;4:4;;64179751
21;Hawk;14:6;;63029377
22;WeedOr;9:4;;59457838
23;raupi;5:7;;54255423
24;Kampfgulasch;13:5;;52953975
25;oScom;5:5;;50054199
26;Stacma;5:6;;44864403
27;Sacrifice;13:1;;43040685
28;seppel;2:9;;40747465
29;kA;11:7;;40047823
30;Snake4you;18:1;;39575284
31;Deadeye;11:3;;35380326
32;DarkRival;2:10;;35360626
33;poTTo;5:2;;32824305
34;Hans;8:1;;32424789
35;guru;2:8;;31432575
36;munk;5:3;;25291334
37;flitzepiepe;13:3;;23578456
38;BeN;5:4;;21708910
39;Wittmann;18:4;;19759572
40;Burloc;9:5;;19028483
41;Schmitti;18:3;;18184543
42;Frerk;11:2;;17610422
43;ololol;3:1;;15387769
44;fuchS;4:3;;13625438
45;Nemesis;9:2;;13301457
46;NeKrOnOx;20:2;;12559727
47;SmookieMcPod;6:2;;11692598
48;Khorgor;9:3;;9378396
49;One;18:2;;7413806
50;Lexx;11:8;;7081122
51;cKone;16:1;;6815650
52;pHx;3:3;;6582028
53;DerZwerg;9:1;;5772978
54;tzoelen;2:11;;5128311
55;piZZab0y;2:3;;4568950
56;DISCOSTU;11:1;;2153349
57;icycut;10:1;;425500
58;m4j0r;13:2;;425500
59;DeM;15:1;;422900
60;triple;2:1;;412500
61;Bullrider;3:4;;295300
62;SuupaaidioOT;2:4;;200
63;sushi;2:5;;200
64;k1k1;2:6;;200
65;v1per;2:7;;200
66;Psychodelity;3:2;;200
67;hille;3:6;;200
68;noRdiC;3:8;;200
69;DamonX;7:1;;200
70;Flar;11:4;;200
71;thieve;11:9;;200
72;Gyr;12:1;;200
73;PadX;13:9;;200
74;Mupfel;19:1;;200
75;Scary;17:1;;200
