1;Justy;4:8;;1006
2;c0d3x;4:4;;860
3;Hiob;1:1;;710
4;jansp;1:2;;629
5;Pug;1:3;;619
6;Hawk;14:6;;461
7;Caddy;4:7;;421
8;Stacma;5:6;;408
9;BiohazardSoldier;6:1;;383
10;macgyver;4:5;;376
11;BeN;5:4;;373
12;Runie;14:3;;344
13;raupi;5:7;;338
14;zeno;5:1;;330
15;WeedOr;9:4;;328
16;Mo3pMo3p;14:2;;317
17;Deadeye;11:3;;302
18;Gott;14:4;;296
19;Logan;4:2;;292
20;Venom2k;14:5;;280
21;fuchS;4:3;;264
22;Hinnerk;14:1;;250
23;Janni;14:8;;242
24;kA;11:7;;198
25;3rkons;13:4;;175
26;poTTo;5:2;;175
27;DarkRival;2:10;;174
28;SmookieMcPod;6:2;;165
29;Snake4you;18:1;;158
30;seppel;2:9;;143
31;MyonRashi;4:6;;141
32;DerZwerg;9:1;;141
33;oScom;5:5;;135
34;h4ck;5:8;;131
35;Nemesis;9:2;;127
36;One;18:2;;109
37;Wittmann;18:4;;99
38;Sacrifice;13:1;;68
39;munk;5:3;;60
40;NeKrOnOx;20:2;;57
41;Interceptor;2:2;;50
42;Hans;8:1;;42
43;pHx;3:3;;39
44;Schmitti;18:3;;30
45;Frerk;11:2;;23
46;Burloc;9:5;;21
47;ololol;3:1;;20
48;flitzepiepe;13:3;;19
49;tzoelen;2:11;;17
50;DISCOSTU;11:1;;14
51;Khorgor;9:3;;9
52;guru;2:8;;1
53;Kampfgulasch;13:5;;1
54;noRdiC;3:8;;0
55;thieve;11:9;;0
56;Psychodelity;3:2;;0
57;SuupaaidioOT;2:4;;0
58;Gyr;12:1;;0
59;DeM;15:1;;0
60;Flar;11:4;;0
61;sushi;2:5;;0
62;icycut;10:1;;0
63;triple;2:1;;0
64;cKone;16:1;;0
65;PadX;13:9;;0
66;Bullrider;3:4;;0
67;k1k1;2:6;;0
68;m4j0r;13:2;;0
69;Mupfel;19:1;;0
70;hille;3:6;;0
71;Lexx;11:8;;0
72;v1per;2:7;;0
73;piZZab0y;2:3;;0
74;DamonX;7:1;;0
75;Scary;17:1;;0
