1;raupi;5:7;;30674973
2;munk;5:3;;26841000
3;macgyver;4:5;;17753800
4;SmookieMcPod;18:4;;14585620
5;wichtel;3:5;;14303070
6;c0d3x;4:4;;13615010
7;One;18:2;;10155612
8;Snake4you;18:1;;10097873
9;Lexx;11:8;;9545253
10;Schmitti;18:3;;9183918
11;DerZwerg;9:1;;7034899
12;Wittmann;1:4;;6171890
13;3rkons;13:4;;5830500
14;BiohazardSoldier;18:5;;4565761
15;Runie;14:3;;3749796
16;Kampfgulasch;13:5;;3569000
17;Hinnerk;14:1;;3425130
18;seppel;2:9;;3239810
19;WeedOr;9:4;;1859047
20;Burloc;9:5;;1811501
21;Khorgor;2:13;;1752000
22;piZZab0y;2:3;;1386500
23;Gott;2:14;;1347797
24;Caddy;4:7;;1238500
25;KB;11:2;;985500
26;Frerk;21:1;;345858
27;jansp;1:2;;185975
28;Hiob;1:1;;185475
29;kA;11:5;;100592
30;Pug;1:3;;87249
31;MyonRashi;21:2;;54470
32;ololol;3:1;;1000
33;thieve;11:9;;1000
34;k1k1;2:6;;1000
35;Justy;4:8;;1000
36;Mupfel;19:1;;1000
37;hille;3:6;;1000
38;tzoelen;2:11;;1000
39;Deadeye;11:3;;1000
40;Interceptor;2:2;;1000
41;fuchS;4:3;;1000
42;Psychodelity;3:2;;1000
43;Gyr;12:1;;1000
44;v1per;2:7;;1000
45;poTTo;5:2;;1000
46;Scary;17:1;;1000
47;Mo3pMo3p;3:7;;1000
48;Nemesis;2:12;;1000
49;Flar;11:4;;1000
50;DamonX;7:1;;1000
51;pHx;3:3;;1000
52;Sacrifice;13:1;;1000
53;guru;2:8;;1000
54;icycut;10:1;;1000
55;noRdiC;3:8;;1000
56;PadX;13:9;;1000
57;SuupaaidioOT;2:4;;1000
58;Hans;8:1;;1000
59;NeKrOnOx;20:2;;1000
60;DeM;15:1;;1000
61;Bullrider;3:4;;1000
62;m4j0r;13:2;;1000
63;DISCOSTU;11:1;;1000
64;BeN;5:4;;1000
65;Hawk;3:9;;1000
66;sushi;2:5;;1000
67;cKone;16:1;;1000
68;flitzepiepe;13:3;;1000
69;DarkRival;2:10;;1000
70;triple;2:1;;1000
71;Stacma;5:6;;1000
72;Logan;4:2;;1000
