1;Nutellawurstbrot;2:2;;1800784765
2;Runie;2:1;;1483313506
3;NajjaN;2:4;;1223703645
4;Drecksbasha;2:3;;864886621
5;Heidie;2:6;;782178204
6;DamoN;2:7;;644316283
7;LordENZONoF;11:2;;558210918
8;chill0;2:5;;522267424
9;Lucifer;1:2;;483985525
10;NeKrOnOxNoF;11:1;;477926601
11;Hiob;1:1;;472658438
12;LorenorZorroNoF;11:5;;465561067
13;KingPhilipp;1:6;;448532536
14;Busta;1:4;;443173926
15;evuel;1:3;;441566320
16;whitetiggerMC;11:7;;439976446
17;EzyNOF;11:3;;432528255
18;Neo;20:1;;404866651
19;GhOsTrAiDeRMC;11:8;;368554237
20;mokkel;6:2;;364551158
21;Kali;6:3;;349271707
22;xchrisx;6:1;;338812073
23;SleepyGodes;20:2;;312750777
24;raupi;11:6;;303816370
25;fanat1NoF;11:4;;293960489
26;Fr34kst4;1:5;;280495350
27;Kampfgulasch;9:2;;247844694
28;kuddeldaddeldooo;12:3;;224558328
29;Ramb0;20:3;;222402155
30;BrainBugy;12:1;;211130650
31;Alphaaa;12:4;;197277829
32;NaSI;3:2;;190728128
33;Fgenz;14:3;;187157232
34;Burloc;9:1;;180385619
35;NightmareMC;17:3;;178630529
36;Hunter;5:1;;123140284
37;W4Ck31D4Ck31;12:2;;116803895
38;Equalizer;5:2;;116236863
39;Smile;20:4;;109105254
40;pe7e;14:2;;95609193
41;caliban;3:11;;88498983
42;Jonny;17:4;;84303221
43;moose;4:2;;83584517
44;VorteX;8:6;;83104480
45;KinGDooM;13:1;;74761626
46;CorTez;14:1;;72889261
47;raLf;4:1;;71718933
48;MoFighter;17:1;;65169038
49;9Schmitti6;17:8;;59492935
50;silencer;18:1;;56545905
51;DieM;15:3;;55714145
52;gReeL;3:14;;53360426
53;secondmatrix;3:9;;48621874
54;cKone;19:1;;25717508
55;V4nilla;13:2;;24631236
56;JamesT;16:2;;15277311
57;Marok;3:13;;7776062
58;AvenGER;8:2;;7268241
59;GUNNAR;3:15;;5346947
60;Ha6aS4N;16:1;;5127944
61;Ownage;3:8;;4200840
62;SpHinX26;8:5;;3684322
63;HansDampf;18:6;;323883
64;Annhilator;3:4;;4635
65;Schmitti;3:7;;1651
66;HoTAvenger;8:4;;1650
67;SpHinX;3:6;;334
68;saubaeer;3:10;;334
69;Enfield;3:3;;0
70;Commodus;10:1;;0
71;cYkr0;17:6;;0
72;AKJonny;18:2;;0
