1;PRESTiGE;5:2;;4250575
2;seppel;5:4;;3724591
3;lore;5:3;;3701345
4;bitburger;5:1;;3632883
5;Hacksaw;1:5;;1258229
6;Cyberroller;1:4;;984303
7;xXxNevaDiexXx;1:3;;852417
8;stl.silence;6:2;;704030
9;Gutschimoto;140:1;;650062
10;W4Ck31D4Ck31;138:2;;647604
11;BiohazardSoldier;140:2;;644557
12;mokkelinho;3:6;;585608
13;ichpwneuchihrkellerkinder;3:7;;544561
14;busTa;1:2;;528281
15;Hiob;1:1;;527454
16;fanat1c;137:5;;513718
17;HappySkul.de;6:1;;505987
18;NeKrOnOx;137:1;;494793
19;One_Of_Eight;7:1;;461508
20;Unholy16-XT;6:6;;456105
21;13obbel;6:4;;425969
22;bardock01;8:1;;424282
23;-evuel-;2:1;;416861
24;xchrisx;10:4;;398951
25;kumba_y0;138:4;;393748
26;yellow.alien;3:5;;385111
27;Lorenor-Zorro;137:6;;375781
28;Ezy;10:2;;374877
29;Schmitti;7:2;;352416
30;Siith;6:5;;350021
31;saubaeer;10:1;;346119
32;AsterixXx;6:7;;342131
33;KarmaPolice;3:4;;305104
34;BrainBug;138:1;;289750
35;SevenSez;7:3;;260956
36;Lord-ENZO;137:2;;256996
37;AffeMitWaffe;4:1;;205021
38;Nightmare;137:3;;200736
39;germane;11:1;;185120
40;Ben-Mirro;10:3;;169042
41;Scott;3:8;;112875
42;Wolf2k;137:7;;105086
43;bOoMeR;3:2;;90681
44;Chrisman;10:6;;20753
45;Flowshee;6:3;;10
46;PhiLLoW;9:1;;10
47;Wurstbrot;3:1;;10
