1;NeKrOnOx;137:1;;1487
2;seppel;5:4;;950
3;Lord-ENZO;137:2;;835
4;PRESTiGE;5:2;;798
5;BiohazardSoldier;140:2;;708
6;Cyberroller;1:4;;616
7;Nightmare;137:3;;446
8;Wolf2k;137:7;;409
9;bitburger;5:1;;358
10;busTa;1:2;;345
11;rul0r;16:3;;269
12;Hacksaw;1:1;;242
13;pinky;19:2;;184
14;trymson;18:1;;138
15;xXxNevaDiexXx;1:3;;121
16;Ezy;10:2;;110
17;Hiob;2:2;;81
18;SevenSez;17:3;;73
19;Schmitti;17:4;;50
20;klaubaeer;31:3;;45
21;HappySkul.de;6:1;;45
22;Bastard;17:2;;45
23;AffeMitWaffe;4:1;;38
24;lore;5:3;;37
25;Ch4ser;17:1;;37
26;bardock01;8:1;;25
27;tealc;31:2;;23
28;West;8:4;;22
29;KarmaPolice;8:2;;15
30;Sorial;8:3;;14
31;loreGOESmulti;19:1;;12
32;BrainBug;138:1;;9
33;AsterixXx;13:5;;8
34;One_Of_Eight;7:1;;0
35;stl.silence;6:2;;0
36;Flowshee;6:3;;0
37;13obbel;6:4;;0
38;PhiLLoW;9:1;;0
39;fanat1c;15:1;;0
40;Lorenor-Zorro;15:2;;0
41;kumba_y0;138:4;;0
42;xchrisx;10:4;;0
43;bOoMeR;3:2;;0
44;mokkelinho;12:2;;0
45;raupi;16:2;;0
46;Chrisman;14:1;;0
47;WieGehtDiesesSpiel;31:4;;0
48;Die-Grüne-Galaxie;18:2;;0
49;Siith;13:4;;0
50;Unholy16-XT;13:1;;0
51;-evuel-;2:1;;0
52;Wurstbrot;3:1;;0
53;yellow.alien;12:1;;0
54;saubaeer;10:1;;0
55;germane;11:1;;0
56;ichpwneuchihrkellerkinder;12:3;;0
57;Ben-Mirro;10:3;;0
58;Scott;12:4;;0
